id	name
209332at40674	Apolipoprotein A-I (APOA1)
91651at40674	Cholesteryl ester transfer protein (CETP)
209652at40674	Apolipoprotein C-I (APOC1)
158878at40674	Vascular endothelial growth factor A (VEGFA)
coag9	Coagulation Factor 9 (F9)
coag10	Coagulation Factor 10 (F10)
68161at40674	DNA polymerase eta (POLH)
71251at40674	Selectin E (SELE)
147514at40674	"alkB homolog 4, lysine demethylase (ALKBH4)"
70809at40674	Testis secretory sperm-binding protein Li 228n (MARCHF10)
21989at40674	phosphatidylinositide phosphatase SAC2 isoform X5 (INPP5F)
198802at40674	Class A basic helix-loop-helix protein 15 (BHLHA15)
195972at40674	Ashwin (C2orf49)
133455at40674	Protein N-terminal asparagine amidohydrolase (NTAN1)
59688at40674	Zinc finger and BTB domain-containing protein 44 (ZBTB44)
47136at40674	Leucine-rich repeat and fibronectin type-III domain-containing protein 5 (LRFN5)
128181at40674	Lysosome-associated membrane glycoprotein 2 (LAMP2)
51763at40674	Amiloride-sensitive sodium channel subunit beta 1 (SCNN1B)
173527at40674	"Chromosome 12 open reading frame 44, isoform CRA_a (ATG101;C12orf44)"
131249at40674	"cDNA FLJ90668 fis, clone PLACE1005426, highly similar to Pregnancy-specific beta-1-glycoprotein 5 (PSG4)"
166336at40674	Protein atonal homolog 8 (ATOH8)
28121at40674	"AT rich interactive domain 4B (RBP1-like), isoform CRA_d (ARID4B)"
93803at40674	L-amino-acid oxidase (IL4I1)
90551at40674	AP-5 complex subunit beta-1 (AP5B1)
114072at40674	NEDD4-binding protein 3 (N4BP3)
167810at40674	Transcription factor SOX-14 (SOX14)
170490at40674	Ret finger protein-like 4A-like protein 1 (RFPL4AL1)
42238at40674	AFF3 (AFF3)
120456at40674	Cathepsin F (CTSF)
34843at40674	Patched domain-containing protein 4 (PTCHD4)
23151at40674	PR domain zinc finger protein 2 (PRDM2)
87119at40674	"cDNA FLJ50635, highly similar to ATP-dependent RNA helicase DDX19A (DDX19A;DKFZp686C21137)"
190697at40674	"cDNA FLJ41554 fis, clone COLON2005772, highly similar to Homo sapiens candidate taste receptor T2R14 gene (PRH1-TAS2R14)"
132288at40674	"cDNA FLJ57155, highly similar to High mobility group protein 20A (HMG20A)"
129541at40674	5-hydroxytryptamine receptor 6 (HTR6)
113466at40674	RNA 3'-terminal phosphate cyclase-like protein (RCL1)
170468at40674	Electron transfer flavoprotein subunit beta (ETFB)
73990at40674	Phosphodiesterase (PDE1A)
9529at40674	ras GTPase-activating-like protein IQGAP2 isoform X1 (IQGAP2)
82107at40674	Cystine/glutamate transporter (SLC7A11)
140163at40674	Zinc finger and BTB domain-containing protein 20 (ZBTB20)
22241at40674	TDRD7 (TDRD7)
20205at40674	"Homeodomain interacting protein kinase 1, isoform CRA_f (HIPK1)"
135542at40674	Olfactory receptor 1I1 (OR1I1)
151128at40674	"Cyclin-dependent kinase 5 activator 1, p25 (CDK5R1)"
156311at40674	"Excision repair cross-complementing rodent repair deficiency, complementation group 1 (Includes overlapping antisense sequence), isoform CRA_a (ERCC1)"
63642at40674	G protein-coupled receptor kinase 5 (GRK5)
137810at40674	Solute carrier family 35 member F1 (SLC35F1)
63934at40674	potassium voltage-gated channel subfamily KQT member 4 isoform X1 (KCNQ4)
100at40674	G-protein coupled receptor 98 (GPR98)
185820at40674	Fibroblast growth factor 21 (FGF21)
153281at40674	E3 ubiquitin-protein ligase RNF167 (RNF167)
29929at40674	Zinc finger protein 629 (ZNF629)
158156at40674	Parkin coregulated gene protein (PACRG)
39607at40674	Nuclear GTPase SLIP-GC (NUGGC)
153234at40674	Olfactory receptor (OR4C15)
89645at40674	Casein kinase I isoform gamma-3 (CSNK1G3)
99069at40674	CEACAM20 (CEACAM20)
28025at40674	Int7 (INTS7)
1556at40674	teneurin-1 isoform X6 (TENM1)
165579at40674	Phospholysine phosphohistidine inorganic pyrophosphate phosphatase (LHPP)
198104at40674	Selenoprotein F (SELENOF)
109117at40674	Zinc finger protein 362 (ZNF362)
92918at40674	Testicular tissue protein Li 35 (CDKL2)
85503at40674	"Pentatricopeptide repeat domain-containing protein 3, mitochondrial (PTCD3)"
177194at40674	Ciliary neurotrophic factor (CNTF)
148318at40674	OTU domain-containing protein 1 (OTUD1)
43128at40674	Cell division cycle 5-like protein (CDC5L)
47812at40674	Rho GTPase-activating protein 30 (ARHGAP30)
91543at40674	"cDNA FLJ56110, highly similar to Syntabulin (SYBU)"
54813at40674	"Dynein, cytoplasmic 1, intermediate chain 1, isoform CRA_e (DNCI1;DYNC1I1)"
174505at40674	Heterogeneous nuclear ribonucleoprotein A/B (HNRNPAB)
192344at40674	Bis(5'-nucleosyl)-tetraphosphatase  (NUDT2)
47793at40674	KN motif and ankyrin repeat domain-containing protein 2 (KANK2)
134301at40674	"Transcription factor EB, isoform CRA_b (TFEB)"
103109at40674	"cDNA FLJ78700, highly similar to Homo sapiens SH2 domain containing 3A, mRNA (SH2D3A)"
151370at40674	Olfactory receptor (OR9K2)
134939at40674	Dematin (DMTN)
128906at40674	Replication factor C subunit 4 (RFC4)
19352at40674	Ras-specific guanine nucleotide-releasing factor 2 (DKFZp781H1715;RASGRF2)
14417at40674	Rho-associated protein kinase 2 (ROCK2)
42010at40674	ATP-dependent RNA helicase DDX1 (DDX1)
201075at40674	GSK-3-binding protein FRAT2 (FRAT2)
45206at40674	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A (STT3A)
197948at40674	Interleukin (IL21;IL-21)
48815at40674	Neuronal PAS domain protein 2 (NPAS2)
172019at40674	Coiled-coil domain-containing protein 28A (CCDC28A)
160365at40674	Monocyte to macrophage differentiation factor 2 (MMD2)
68826at40674	Protein KHNYN (CBLN3;KHNYN)
45308at40674	Semaphorin-3G (SEMA3G)
4565at40674	myomegalin isoform X10 (PDE4DIP)
170947at40674	Serine protease 58 (PRSS58)
166120at40674	Zinc finger MYND domain-containing protein 19 (ZMYND19)
21551at40674	Zinc finger protein 608 (ZNF608)
114906at40674	Zinc finger protein 692 (ZNF692)
190022at40674	Transcription factor 23 (TCF23)
144161at40674	Protein shisa-8 (SHISA8)
164866at40674	MPG (MPG)
59398at40674	"Kelch-like 7 (Drosophila), isoform CRA_a (KLHL7)"
62122at40674	ADGRF3 (ADGRF3)
174378at40674	Sphingosine 1-phosphate receptor 5 (S1PR5)
46961at40674	Neuroendocrine convertase 1 (PCSK1)
141037at40674	Olfactory receptor (OR5C1)
71629at40674	"Kinesin light chain 4, isoform CRA_a (KLC4)"
114885at40674	Putative tripartite motif-containing protein 64B (TRIM64B)
63691at40674	Tyrosine-protein phosphatase non-receptor type 6 (PTPN6)
27635at40674	DNA mismatch repair protein Msh2 (MSH2)
86034at40674	Transient receptor potential cation channel subfamily V member 1 (TRPV1)
184579at40674	Cdc42 effector protein 3 (CDC42EP3)
172490at40674	"HCG1985507, isoform CRA_a (ARHGDIG)"
95199at40674	SRPX (SRPX)
81536at40674	Sodium/iodide cotransporter (SLC5A5)
100408at40674	2-oxoisovalerate dehydrogenase subunit alpha (BCKDHA)
