id	name
209332at40674	Apolipoprotein A-I
91651at40674	Cholesteryl ester transfer protein
209652at40674	Apolipoprotein C-I
158878at40674	Vascular endothelial growth factor A
coag9	Coagulation Factor 9
coag10	Coagulation Factor 10
68161at40674	DNA polymerase eta
71251at40674	Selectin E
147514at40674	"alkB homolog 4, lysine demethylase"
70809at40674	Testis secretory sperm-binding protein Li 228n
21989at40674	phosphatidylinositide phosphatase SAC2 isoform X5
198802at40674	Class A basic helix-loop-helix protein 15
195972at40674	Ashwin
133455at40674	Protein N-terminal asparagine amidohydrolase
59688at40674	Zinc finger and BTB domain-containing protein 44
47136at40674	Leucine-rich repeat and fibronectin type-III domain-containing protein 5
128181at40674	Lysosome-associated membrane glycoprotein 2
51763at40674	Amiloride-sensitive sodium channel subunit beta 1
173527at40674	"Chromosome 12 open reading frame 44, isoform CRA_a"
131249at40674	"cDNA FLJ90668 fis, clone PLACE1005426, highly similar to Pregnancy-specific beta-1-glycoprotein 5"
166336at40674	Protein atonal homolog 8
28121at40674	"AT rich interactive domain 4B (RBP1-like), isoform CRA_d"
93803at40674	L-amino-acid oxidase
90551at40674	AP-5 complex subunit beta-1
114072at40674	NEDD4-binding protein 3
167810at40674	Transcription factor SOX-14
170490at40674	Ret finger protein-like 4A-like protein 1
42238at40674	AFF3
120456at40674	Cathepsin F
34843at40674	Patched domain-containing protein 4
23151at40674	PR domain zinc finger protein 2
87119at40674	"cDNA FLJ50635, highly similar to ATP-dependent RNA helicase DDX19A"
190697at40674	"cDNA FLJ41554 fis, clone COLON2005772, highly similar to Homo sapiens candidate taste receptor T2R14 gene"
132288at40674	"cDNA FLJ57155, highly similar to High mobility group protein 20A"
129541at40674	5-hydroxytryptamine receptor 6
113466at40674	RNA 3'-terminal phosphate cyclase-like protein
170468at40674	Electron transfer flavoprotein subunit beta
73990at40674	Phosphodiesterase
9529at40674	ras GTPase-activating-like protein IQGAP2 isoform X1
82107at40674	Cystine/glutamate transporter
140163at40674	Zinc finger and BTB domain-containing protein 20
22241at40674	TDRD7
20205at40674	"Homeodomain interacting protein kinase 1, isoform CRA_f"
135542at40674	Olfactory receptor 1I1
151128at40674	"Cyclin-dependent kinase 5 activator 1, p25"
156311at40674	"Excision repair cross-complementing rodent repair deficiency, complementation group 1 (Includes overlapping antisense sequence), isoform CRA_a"
63642at40674	G protein-coupled receptor kinase 5
137810at40674	Solute carrier family 35 member F1
63934at40674	potassium voltage-gated channel subfamily KQT member 4 isoform X1
100at40674	G-protein coupled receptor 98
185820at40674	Fibroblast growth factor 21
153281at40674	E3 ubiquitin-protein ligase RNF167
29929at40674	Zinc finger protein 629
158156at40674	Parkin coregulated gene protein
39607at40674	Nuclear GTPase SLIP-GC
153234at40674	Olfactory receptor
89645at40674	Casein kinase I isoform gamma-3
99069at40674	CEACAM20
28025at40674	Int7
1556at40674	teneurin-1 isoform X6
165579at40674	Phospholysine phosphohistidine inorganic pyrophosphate phosphatase
198104at40674	Selenoprotein F
109117at40674	Zinc finger protein 362
92918at40674	Testicular tissue protein Li 35
85503at40674	"Pentatricopeptide repeat domain-containing protein 3, mitochondrial"
177194at40674	Ciliary neurotrophic factor
148318at40674	OTU domain-containing protein 1
43128at40674	Cell division cycle 5-like protein
47812at40674	Rho GTPase-activating protein 30
91543at40674	"cDNA FLJ56110, highly similar to Syntabulin"
54813at40674	"Dynein, cytoplasmic 1, intermediate chain 1, isoform CRA_e"
174505at40674	Heterogeneous nuclear ribonucleoprotein A/B
192344at40674	Bis(5'-nucleosyl)-tetraphosphatase 
47793at40674	KN motif and ankyrin repeat domain-containing protein 2
134301at40674	"Transcription factor EB, isoform CRA_b"
103109at40674	"cDNA FLJ78700, highly similar to Homo sapiens SH2 domain containing 3A, mRNA"
151370at40674	Olfactory receptor
134939at40674	Dematin
128906at40674	Replication factor C subunit 4
19352at40674	Ras-specific guanine nucleotide-releasing factor 2
14417at40674	Rho-associated protein kinase 2
42010at40674	ATP-dependent RNA helicase DDX1
201075at40674	GSK-3-binding protein FRAT2
45206at40674	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A
197948at40674	Interleukin
48815at40674	Neuronal PAS domain protein 2
172019at40674	Coiled-coil domain-containing protein 28A
160365at40674	Monocyte to macrophage differentiation factor 2
68826at40674	Protein KHNYN
45308at40674	Semaphorin-3G
4565at40674	myomegalin isoform X10
170947at40674	Serine protease 58
166120at40674	Zinc finger MYND domain-containing protein 19
21551at40674	Zinc finger protein 608
114906at40674	Zinc finger protein 692
190022at40674	Transcription factor 23
144161at40674	Protein shisa-8
164866at40674	MPG
59398at40674	"Kelch-like 7 (Drosophila), isoform CRA_a"
62122at40674	ADGRF3
174378at40674	Sphingosine 1-phosphate receptor 5
46961at40674	Neuroendocrine convertase 1
141037at40674	Olfactory receptor
71629at40674	"Kinesin light chain 4, isoform CRA_a"
114885at40674	Putative tripartite motif-containing protein 64B
63691at40674	Tyrosine-protein phosphatase non-receptor type 6
27635at40674	DNA mismatch repair protein Msh2
