id	name
209332at40674	APOA1
91651at40674	CETP
209652at40674	APOC1
158878at40674	VEGFA
coag9	F9
coag10	F10
68161at40674	POLH
71251at40674	SELE
147514at40674	ALKBH4
70809at40674	MARCHF10
21989at40674	INPP5F
198802at40674	BHLHA15
195972at40674	C2orf49
133455at40674	NTAN1
59688at40674	ZBTB44
47136at40674	LRFN5
128181at40674	LAMP2
51763at40674	SCNN1B
173527at40674	ATG101
131249at40674	PSG4
166336at40674	ATOH8
28121at40674	ARID4B
93803at40674	IL4I1
90551at40674	AP5B1
114072at40674	N4BP3
167810at40674	SOX14
170490at40674	RFPL4AL1
42238at40674	AFF3
120456at40674	CTSF
34843at40674	PTCHD4
23151at40674	PRDM2
87119at40674	DDX19A
190697at40674	PRH1-TAS2R14
132288at40674	HMG20A
129541at40674	HTR6
113466at40674	RCL1
170468at40674	ETFB
73990at40674	PDE1A
9529at40674	IQGAP2
82107at40674	SLC7A11
140163at40674	ZBTB20
22241at40674	TDRD7
20205at40674	HIPK1
135542at40674	OR1I1
151128at40674	CDK5R1
156311at40674	ERCC1
63642at40674	GRK5
137810at40674	SLC35F1
63934at40674	KCNQ4
100at40674	GPR98
185820at40674	FGF21
153281at40674	RNF167
29929at40674	ZNF629
158156at40674	PACRG
39607at40674	NUGGC
153234at40674	OR4C15
89645at40674	CSNK1G3
99069at40674	CEACAM20
28025at40674	INTS7
1556at40674	TENM1
165579at40674	LHPP
198104at40674	SELENOF
109117at40674	ZNF362
92918at40674	CDKL2
85503at40674	PTCD3
177194at40674	CNTF
148318at40674	OTUD1
43128at40674	CDC5L
47812at40674	ARHGAP30
91543at40674	SYBU
54813at40674	DNCI1
174505at40674	HNRNPAB
192344at40674	NUDT2
47793at40674	KANK2
134301at40674	TFEB
103109at40674	SH2D3A
151370at40674	OR9K2
134939at40674	DMTN
128906at40674	RFC4
19352at40674	DKFZp781H1715
14417at40674	ROCK2
42010at40674	DDX1
201075at40674	FRAT2
45206at40674	STT3A
197948at40674	IL21
48815at40674	NPAS2
172019at40674	CCDC28A
160365at40674	MMD2
68826at40674	CBLN3
45308at40674	SEMA3G
4565at40674	PDE4DIP
170947at40674	PRSS58
166120at40674	ZMYND19
21551at40674	ZNF608
114906at40674	ZNF692
190022at40674	TCF23
144161at40674	SHISA8
164866at40674	MPG
59398at40674	KLHL7
62122at40674	ADGRF3
174378at40674	S1PR5
46961at40674	PCSK1
141037at40674	OR5C1
71629at40674	KLC4
114885at40674	TRIM64B
63691at40674	PTPN6
27635at40674	MSH2
86034at40674	TRPV1
184579at40674	CDC42EP3
172490at40674	ARHGDIG
95199at40674	SRPX
81536at40674	SLC5A5
100408at40674	BCKDHA
51106at40674	HEL110
187751at40674	GEMIN6
34560at40674	NUP93
70813at40674	C3orf67
158683at40674	NDUFV2
208871at40674	C12orf31
92715at40674	PRPF31
112599at40674	ST6GAL1
69843at40674	GPRIN3
56396at40674	DCBLD2
21801at40674	KDM4B
51441at40674	ABCD3
131910at40674	VASH1
102343at40674	TMEM259
175072at40674	TMIGD2
19575at40674	N4BP2
39286at40674	ZRANB1
90359at40674	FAM126A
45731at40674	CCDC80
82664at40674	PRAG1
158665at40674	COMMD7
74746at40674	FRS3
139975at40674	CCDC6
113810at40674	PDSS2
186268at40674	NIF3L1BP1
170993at40674	RNF186
186721at40674	C19orf18
8375at40674	KAT6B
106070at40674	CCDC149
84270at40674	CORO2A
59816at40674	FAM83G
121040at40674	KRT32
55129at40674	CDH17
92914at40674	BORA
185401at40674	TSPAN32
112500at40674	F7
212590at40674	UQCR11
212588at40674	SPRR3
202413at40674	IL17F
88563at40674	PRAMEF1
3259at40674	BRCA2
176270at40674	UBXN8
59101at40674	SELP
23599at40674	AP3D1
60512at40674	ZMIZ2
55904at40674	CAPN14
34629at40674	SREBF2
176246at40674	CCDC117
105831at40674	GPR180
